outcome,cycle,year,n,n_cases,n_psu,n_strata,design_dof,crit,p_std,se_std,lo_std,hi_std,lo_std_normal,hi_std_normal,p_crude,se_crude,deff_std,n_effective_std,kish_weighting,deff_clustering
Heart failure,1999-2000,1999.5,4856,167,27,13,14,2.144786687917804,0.023163438135583185,0.0022388431225796655,0.01836159720993799,0.02796527906122838,0.018775305615327042,0.027551570655839328,0.021123648320783957,0.002282159909422122,1.2502690590845573,3883.963987364085,1.7675818786394153,0.7073330374075479
Heart failure,2001-2002,2001.5,5387,187,30,15,15,2.1314495455597755,0.0241222856847028,0.0028265742404595907,0.01809758530438424,0.030146986065021364,0.018582200173402005,0.0296623711960036,0.02208138824479942,0.0031177707103275856,2.0205448447729175,2666.112565596349,1.5792472892792158,1.279435373097974
Heart failure,2003-2004,2003.5,5019,197,30,15,15,2.1314495455597755,0.026954442674730926,0.0023276840261346873,0.021993101615019398,0.031915783734442454,0.02239218198350694,0.03151670336595491,0.026173858708881347,0.0027111788752021784,1.3100570285400042,3831.130928394343,1.5335893724702385,0.854242375473574
Heart failure,2005-2006,2005.5,4962,180,30,15,15,2.1314495455597755,0.026072380592292166,0.0022167608132351627,0.02134746676430736,0.030797294420276972,0.021727529398351247,0.030417231786233085,0.025872160998983578,0.0021491820838988973,0.9252958809015989,5362.6089799136225,1.519384702913452,0.6089938111969435
Heart failure,2007-2008,2007.5,5910,217,32,16,16,2.1199052992212546,0.023831546826280418,0.002739163219500254,0.018024780201829876,0.02963831345073096,0.01846278691605992,0.029200306736500915,0.02368366110709995,0.002898807275688919,2.0596062471296466,2869.480517568066,1.6388850642911148,1.2567118292828612
Heart failure,2009-2010,2009.5,6199,174,31,15,16,2.1199052992212546,0.01931703141095944,0.002019996729352527,0.015034829639995414,0.023599233181923463,0.015357837821428485,0.02327622500049039,0.019826252944340424,0.0024336817855210593,1.4275835975628473,4342.302622825629,1.5468844680031113,0.9228766770188915
Heart failure,2011-2012,2011.5,5544,187,31,14,17,2.1098155778333156,0.02726562671734958,0.0031929430746841857,0.02052910567924588,0.03400214775545328,0.021007458290968575,0.033523795143730585,0.02732962014794458,0.003673503789568117,2.3218655120178835,2387.7351945254695,1.946439133815746,1.1928785604850443
Heart failure,2013-2014,2013.5,5761,182,30,15,15,2.1314495455597755,0.024946287204237427,0.0014693977649304895,0.021814340005929786,0.028078234402545067,0.022066267584973667,0.027826306823501186,0.026028863786054818,0.0017599369056779041,0.5483353099215217,10506.345106290019,1.5709330574394822,0.3490507169129614
Heart failure,2015-2016,2015.5,5708,214,30,15,15,2.1314495455597755,0.02240361274992997,0.0017525996937398363,0.018668034929159992,0.026139190570699945,0.01896851735019989,0.025838708149660047,0.024767549180310263,0.002151462993737108,0.7162572122470766,7969.204222171233,1.9094341576632963,0.3751149047860383
Heart failure,2017-2018,2017.5,5552,201,30,15,15,2.1314495455597755,0.020193451609370278,0.0024166152054189397,0.015042558227987234,0.02534434499075332,0.015456885806749157,0.024930017411991398,0.023046338880332237,0.0032362182272046318,1.6914683572547518,3282.355224788763,2.3344625336583533,0.7245643624033834
Heart failure,2021-2022,2022.6,7791,343,30,15,15,2.1314495455597755,0.026153106571967656,0.0022920148790625833,0.02126779249957347,0.031038420644361842,0.021660757409004992,0.03064545573493032,0.030873575794634463,0.0026973760011584085,1.8980210974809435,4104.801580098465,1.482099401235636,1.2806300953219134
